Argument ID	Conclusion Farsi	Stance Farsi	Premise Farsi	Conclusion English	Stance English	Premise English	Source	Method
F01000	عادت طمع انسان را پست می‌کند.	به نفع	طمع، صخره لغزنده اى است که قدم هاى عالمان، بر آن استوار نمى ماند	greed as habit devalues human	in favor of	Greed is like a slippery rock on which even the steps of scholars are not firm.	Nahj al-Balagha	extracted
F01001	عادت طمع انسان را پست می‌کند.	به نفع	افراد طمّاع براى رسيدن به مقصود خود بايد تن به هر ذلتى بدهند و دست سؤال به سوى هر کس دراز کنند و شخصيت خود را براى نيل به اهداف طمع کارانه خود بشکنند.	greed as habit devalues human	in favor of	Greedy people, in order to achieve their goal, must accept any humiliation and question everyone and give up their character in order to achieve their greedy goals.	Nahj al-Balagha	extracted
F01002	عادت طمع انسان را پست می‌کند.	به نفع	آن که جان را با طمع‌ورزی بپوشاند خود را پست کرده است.	greed as habit devalues human	in favor of	Whoever adopts greed as a habit devalues himself	Nahj al-Balagha	extracted
F01003	عادت طمع انسان را پست می‌کند.	به نفع	طمع ورزى، بردگى هميشگى است.	greed as habit devalues human	in favor of	Being greedy is eternal slavery	Nahj al-Balagha	extracted
F01004	عادت طمع انسان را پست می‌کند.	در مقابل	شخص حریص به خاطر دلباختگی به دنیا خطراتی را که در اطراف او وجود دارد نمی‌بیند و با عجله و شتاب به پیش می‌تازد	greed as habit devalues human	against	A greedy person does not see the dangers around her because of her or his love for their world and rushes ahead.	Nahj al-Balagha	deduced
F01005	آشکار ساختن سختی‌ها انسان را خوار می‌کند.	به نفع	طرح مشکلات نزد کسانى که هيچ گونه توانايى براى حل آن ندارند اثرى جز ذلت و سرافکندگى انسان نخواهد داشت. در اين گونه موارد بايد خويشتن دار بود و لب به شکايت نگشود.	disclosing hardship humiliate human	in favor of	Disclosing hardships to those who do not have the ability to help does not have any effect but humiliating and abasing humans. In These situations, we should try not to complain and control ourselves.	Nahj al-Balagha	deduced
F01006	آشکار ساختن سختی‌ها انسان را خوار می‌کند.	به نفع	انسان عاقل نيز بايد اسرارش را در دل خود پنهان دارد، چرا که اسرار او اگر به دست دوست بيفتد گاه سبب ناراحتى او مى شود و اگر به دست دشمن بيفتد ممکن است سبب آبروريزى او شود.	disclosing hardship humiliate human	in favor of	A wise man should conceal his secret in his heart since telling secrets to friends makes them sad and if the enemies know them, it will cause dishonor.	Nahj al-Balagha	deduced
F01007	آشکار ساختن سختی‌ها انسان را خوار می‌کند.	به نفع	آن کس که راز سختی‌های خود را آشکار سازد خود را خوار کرده است.	disclosing hardship humiliate human	in favor of	Whoever discloses his hardship agrees to be humiliated	Nahj al-Balagha	extracted
F01008	آشکار ساختن سختی‌ها انسان را خوار می‌کند.	در مقابل	گفتن سختی‌ها به دوستان و افراد خردمند کمک می‌کند تا بتوانیم از راه‌‌حل‌ها و ایده‌های آن‌ها بهره‌مند شویم.	disclosing hardship humiliate human	against	Telling difficulties to friends and wise people helps us to benefit from their solutions and ideas.	Nahj al-Balagha	deduced
F01009	کنترل نکردن زبان انسان را بی‌ارزش می‌کند.	به نفع	زبان انسان باايمان پشت قلب (و فکر) اوست، لذا هنگامى که مى خواهد سخنى بگويد نخست در آن تدبّر مى کند سپس بر زبانش جارى مى سازد، ولى زبان منافق جلوى قلب اوست، لذا هنگامى که تصميم به چيزى مى گيرد بدون هيچ گونه تدبّر بر زبانش جارى مى سازد	not controlling tongue debases human	in favor of	The believer's tongue is behind his heart, and so when he wants to speak, he first thinks about it and then tells it. But the hypocrite's tongue is in front of his heart, so when he decides to say something, he tells it without thinking.	Nahj al-Balagha	extracted
F01010	کنترل نکردن زبان انسان را بی‌ارزش می‌کند.	به نفع	کسى که زياد سخن گويد اشتباهات زيادى خواهد کرد	not controlling tongue debases human	in favor of	The one who speaks a lot will have lots of mistakes	Nahj al-Balagha	extracted
F01011	کنترل نکردن زبان انسان را بی‌ارزش می‌کند.	به نفع	بدون فکر سخن گفتن و کنترل نکردن زبان می‌تواند منجر شود که پشیمان شویم.	not controlling tongue debases human	in favor of	Speaking without thinking and not controlling the tongue can lead to regret.	Nahj al-Balagha	deduced
F01012	کنترل نکردن زبان انسان را بی‌ارزش می‌کند.	به نفع	آن کسی که زبان را بر خود حاکم کند خود را بی‌ارزش کرده است.	not controlling tongue debases human	in favor of	Whoever allows his tongue to overpower his soul debases the soul	Nahj al-Balagha	extracted
F01013	نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.	در مقابل	مرد را سرزنش نكنند كه چرا حقّش را با تأخير مى گيرد، بلكه سرزنش در آنجاست كه آنچه حقّش نيست بگيرد.	We should not reprove everyone who do something wrong.	against	A man should not be blamed for taking his right with delay, but the blame lies in taking what is not his right.	Nahj al-Balagha	extracted
F01014	نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.	در مقابل	مشکلات و گرفتاری‌ها نتیجهٔ مستقیم اعمال انسان است که بر اثر ندانم‌کاری‌ها، سستی و تنبلی‌ها و استفاده نکردن به موقع فرصت‌ها دامن او را گرفته است و به یقین چنین شخصی در خورد	We should not reprove everyone who do something wrong.	against	Problems and difficulties are the direct result of human actions, which are caused by ignorance, laziness, and not using opportunities on time, and such a person is definitely to be blamed.	Nahj al-Balagha	deduced
F01015	نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.	در مقابل	اگر کسی اشتباهی را انجام داد باید به او گفته شود تا دیگر آن اشتباه را تکرار نکند.	We should not reprove everyone who do something wrong.	against	If someone has made a mistake, she or he should be told so that she does not repeat that mistake again.	Nahj al-Balagha	deduced
F01016	نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.	به نفع	هر کسی که فریب خورده باشد را نمی‌توان سرزنش کرد.	We should not reprove everyone who do something wrong.	in favor of	Every mischief monger cannot even be reproved	Nahj al-Balagha	extracted
F01017	لغزش هیچ‌کس بخشیدنی نیست.	در مقابل	از آثار و برکات مهم عفو دشمنان و خطاکاران اين است که در بسيارى از موارد ناگهان منقلب مى شوند و عداوت آن ها تبديل به دوستى صميمانه مى شود	shortcomings of nobody is forgivable.	against	One of the important effects and blessings of pardoning enemies and wrongdoers is that in many cases, they suddenly turn away and their enmity turns into sincere friendship.	Nahj al-Balagha	deduced
F01018	لغزش هیچ‌کس بخشیدنی نیست.	به نفع	بخشیدن اشتباهات می‌شود تا افراد به خود اجازه دهند تکرار اشتباه را بدهند.	shortcomings of nobody is forgivable.	in favor of	Forgiving mistakes is so that people allow themselves to repeat the mistake.	Nahj al-Balagha	deduced
F01019	لغزش هیچ‌کس بخشیدنی نیست.	در مقابل	تبديل انتقام به عفو اثر مهم اجتماعى دارد و آن اين است که انتقام به صورت تصاعدى پيش مى رود و دائماً قتل و کشتار و ناامنى مى آفريند و هرگز اجازه نمى دهد صلح و صفا و آرامشى در جامعه پديد آيد در حالى که عفو و گذشت به خشونت ها پايان مى دهد و سبب آرامش جامعه است.	shortcomings of nobody is forgivable.	against	The transformation of revenge into forgiveness has an important social effect, and that is that revenge proceeds exponentially and constantly creates murder and insecurity and never allows peace and tranquility to emerge in the society. While amnesty ends violence and brings peace to the society.	Nahj al-Balagha	deduced
F01020	لغزش هیچ‌کس بخشیدنی نیست.	در مقابل	برادرت را با احسانى كه در حق او مى كنى سرزنش كن، و شر او را با بخشش باز گردان.	shortcomings of nobody is forgivable.	against	Rebuke your brother with the good you do to him, and repay his evil with forgiveness.	Nahj al-Balagha	extracted
F01021	لغزش هیچ‌کس بخشیدنی نیست.	در مقابل	از آن ها خطاها سر خواهد زد و علت هایی عارضشان خواهد شد و به عمد یا خطا، لغزش هایی کنند، پس، از عفو و بخشایش خویش نصیبشان ده، همان گونه که دوست داری که خداوند نیز از عفو و بخشایش خود تو را نصیب دهد. زیرا تو برتر از آن ها هستی و آنکه تو را بر آن سرزمین ولایت داده، برتر از توست و خداوند برتر از کسی است که تو را ولایت داده است.	shortcomings of nobody is forgivable.	against	Mistakes will occur from your subordinates and there will be reasons for them and they will make mistakes intentionally or by mistake, so grant them your forgiveness and remission, just as you would like God to grant you his forgiveness and his remission. Because you are superior to them, and the one who gave you guardianship over that land is superior to you, and God is superior to the one who gave you guardianship.	Nahj al-Balagha	extracted
F01022	لغزش هیچ‌کس بخشیدنی نیست.	در مقابل	از لغزش جوانمردان درگذريد، زيرا جوانمردى نمى ‏لغزد جز آن كه دست خدا او را بلند مرتبه مى‏ سازد.	shortcomings of nobody is forgivable.	against	Forgive the shortcomings of considerate people because when they fall into error, Allah raises them up	Nahj al-Balagha	extracted
F01023	در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.	در مقابل	ترس و شرمی که گاهی در فرصت‌ها برای انسان به وجود می آید گویای عدم آمادگی فرد در انجام آن کار هست و باید تا آمادگی کامل صبر کرد.	opportunity should not be hesitate by fear and bashfulness	against	The fear and shame that sometimes arises for a person in the opportunities shows that the person is not ready to do that work and should wait until she or he is fully ready.	Nahj al-Balagha	deduced
F01024	در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.	به نفع	از دست دادن فرصت، اندوهبار است	opportunity should not be hesitate by fear and bashfulness	in favor of	Loss of opportunity is sad	Nahj al-Balagha	extracted
