Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A26004	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A26010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A26016	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26024	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A26026	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A26045	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A26060	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A26064	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
A26068	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26073	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A26077	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
A26080	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
A26082	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A26087	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A27040	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0
A27041	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A27042	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
A27046	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A27056	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0
A27105	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
A27117	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A27138	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
A27142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A27145	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27165	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27170	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A27182	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A27184	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
A27192	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
A27197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27203	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
A27225	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
A27228	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27274	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27278	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
A27289	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
A27294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A27301	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
A27304	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A27306	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27307	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27308	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A27311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27318	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0
A27325	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
